hc,hs,ht,lg,ls,r1,r2,r3,r4,s,wg,ws,xt,Resonant_Freq_GHz,S21_dB
0.035,1.27,0.13,1.125,20,2.5,4.5,6.5,9.0,0,65,65,1.6375,4.9770002365112,-27.910544148593
0.035,1.27,0.13,1.125,20,1.375,3.375,5.375,8.04,0,65,65,1.6375,5.4320001602173,-35.072625620668
0.035,1.27,0.13,1.125,20,1.375,3.375,5.375,8.04,0,65,65,1.6375,5.5440001487732,-36.019238195693
0.035,1.27,0.13,1.125,20,1.375,3.375,5.375,8.04,0,65,65,1.6375,5.5720000267029,-41.223538857708
0.035,1.27,0.13,1.125,20,1.375,3.375,5.375,8.04,0,65,65,1.6375,5.606999874115,-47.109119749365
0.035,1.27,0.13,1.125,20,1.375,3.375,5.75,8.04,0,65,65,1.6375,5.3480000495911,-34.231791692209
0.035,1.27,0.13,1.125,20,1.375,3.375,5.75,8.04,0,65,65,1.6375,5.4390001296997,-35.761499735719
0.035,1.27,0.13,1.125,20,1.375,3.375,5.75,8.04,0,65,65,1.6375,5.4530000686646,-35.372737512224
0.035,1.27,0.13,1.125,20,1.375,3.375,5.75,8.04,0,65,65,1.6375,5.4739999771118,-32.118495418241
0.035,1.27,0.13,1.125,20,1.375,3.375,6.125,8.04,0,65,65,1.6375,5.2360000610352,-27.836438792505
0.035,1.27,0.13,1.125,20,1.375,3.375,6.125,8.04,0,65,65,1.6375,5.313000202179,-27.292950445127
0.035,1.27,0.13,1.125,20,1.375,3.375,6.125,8.04,0,65,65,1.6375,5.3270001411438,-28.328735911409
0.035,1.27,0.13,1.125,20,1.375,3.375,6.125,8.04,0,65,65,1.6375,5.3340001106262,-26.898499324935
0.035,1.27,0.13,1.125,20,1.375,3.375,6.5,8.04,0,65,65,1.6375,5.1449999809265,-20.440258255911
0.035,1.27,0.13,1.125,20,1.375,3.375,6.5,8.04,0,65,65,1.6375,5.201000213623,-18.133818187173
0.035,1.27,0.13,1.125,20,1.375,3.375,6.5,8.04,0,65,65,1.6375,5.186999797821,-17.969006418464
0.035,1.27,0.13,1.125,20,1.375,3.375,6.5,8.04,0,65,65,1.6375,5.1939997673035,-17.934197038466
0.035,1.27,0.13,1.125,20,1.375,3.75,5.375,8.04,0,65,65,1.6375,5.4180002212524,-35.280586829785
0.035,1.27,0.13,1.125,20,1.375,3.75,5.375,8.04,0,65,65,1.6375,5.5440001487732,-39.686409930803
0.035,1.27,0.13,1.125,20,1.375,3.75,5.375,8.04,0,65,65,1.6375,5.5720000267029,-36.071091218029
0.035,1.27,0.13,1.125,20,1.375,3.75,5.375,8.04,0,65,65,1.6375,5.5999999046326,-31.444123208207
0.035,1.27,0.13,1.125,20,1.375,3.75,5.75,8.04,0,65,65,1.6375,5.3550000190735,-40.451449930775
0.035,1.27,0.13,1.125,20,1.375,3.75,5.75,8.04,0,65,65,1.6375,5.4390001296997,-35.964938112785
0.035,1.27,0.13,1.125,20,1.375,3.75,5.75,8.04,0,65,65,1.6375,5.4530000686646,-35.705647713855
0.035,1.27,0.13,1.125,20,1.375,3.75,5.75,8.04,0,65,65,1.6375,5.4809999465942,-30.53407273037
0.035,1.27,0.13,1.125,20,1.375,3.75,6.125,8.04,0,65,65,1.6375,5.2569999694824,-28.3327744456
0.035,1.27,0.13,1.125,20,1.375,3.75,6.125,8.04,0,65,65,1.6375,5.298999786377,-29.316302263491
0.035,1.27,0.13,1.125,20,1.375,3.75,6.125,8.04,0,65,65,1.6375,5.3410000801086,-26.291824774576
0.035,1.27,0.13,1.125,20,1.375,3.75,6.125,8.04,0,65,65,1.6375,5.3340001106262,-25.950819378529
0.035,1.27,0.13,1.125,20,1.375,3.75,6.5,8.04,0,65,65,1.6375,5.1519999504089,-20.561116913917
0.035,1.27,0.13,1.125,20,1.375,3.75,6.5,8.04,0,65,65,1.6375,5.1799998283386,-20.078533733592
0.035,1.27,0.13,1.125,20,1.375,3.75,6.5,8.04,0,65,65,1.6375,5.201000213623,-18.898660857309
0.035,1.27,0.13,1.125,20,1.375,3.75,6.5,8.04,0,65,65,1.6375,5.201000213623,-18.1361475365
0.035,1.27,0.13,1.125,20,1.375,4.125,5.375,8.04,0,65,65,1.6375,5.3899998664856,-42.968314330796
0.035,1.27,0.13,1.125,20,1.375,4.125,5.375,8.04,0,65,65,1.6375,5.5440001487732,-22.117054432732
0.035,1.27,0.13,1.125,20,1.375,4.125,5.375,8.04,0,65,65,1.6375,5.5929999351501,-33.570893694051
0.035,1.27,0.13,1.125,20,1.375,4.125,5.375,8.04,0,65,65,1.6375,5.6139998435974,-24.72415666513
0.035,1.27,0.13,1.125,20,1.375,4.125,5.75,8.04,0,65,65,1.6375,5.3410000801086,-36.388132781396
0.035,1.27,0.13,1.125,20,1.375,4.125,5.75,8.04,0,65,65,1.6375,5.4250001907349,-23.15280171775
0.035,1.27,0.13,1.125,20,1.375,4.125,5.75,8.04,0,65,65,1.6375,5.4530000686646,-19.337120022852
0.035,1.27,0.13,1.125,20,1.375,4.125,5.75,8.04,0,65,65,1.6375,5.4879999160767,-23.077760981258
0.035,1.27,0.13,1.125,20,1.375,4.125,6.125,8.04,0,65,65,1.6375,5.2360000610352,-30.386505691587
0.035,1.27,0.13,1.125,20,1.375,4.125,6.125,8.04,0,65,65,1.6375,5.313000202179,-24.116509529764
0.035,1.27,0.13,1.125,20,1.375,4.125,6.125,8.04,0,65,65,1.6375,5.3200001716614,-21.774598017659
0.035,1.27,0.13,1.125,20,1.375,4.125,6.125,8.04,0,65,65,1.6375,5.3410000801086,-18.902586803327
0.035,1.27,0.13,1.125,20,1.375,4.125,6.5,8.04,0,65,65,1.6375,5.1100001335144,-21.3244543129
0.035,1.27,0.13,1.125,20,1.375,4.125,6.5,8.04,0,65,65,1.6375,5.1939997673035,-18.225168605075
0.035,1.27,0.13,1.125,20,1.375,4.125,6.5,8.04,0,65,65,1.6375,5.1939997673035,-17.440657173907
0.035,1.27,0.13,1.125,20,1.375,4.125,6.5,8.04,0,65,65,1.6375,5.1939997673035,-16.033479246935
0.035,1.27,0.13,1.125,20,1.375,4.5,5.375,8.04,0,65,65,1.6375,5.4039998054504,-32.253138797167
0.035,1.27,0.13,1.125,20,1.375,4.5,5.375,8.04,0,65,65,1.6375,5.5229997634888,-40.025855196117
0.035,1.27,0.13,1.125,20,1.375,4.5,5.375,8.04,0,65,65,1.6375,5.5510001182556,-37.610259152107
